Price,Close,High,Low,Open,Volume
Ticker,GC=F,GC=F,GC=F,GC=F,GC=F
Datetime,,,,,
2026-04-21 22:00:00+00:00,4737.60009765625,4748.10009765625,4733.10009765625,4738.7001953125,0
2026-04-21 23:00:00+00:00,4755.7998046875,4758.39990234375,4736.0,4737.10009765625,3191
2026-04-22 00:00:00+00:00,4757.7001953125,4766.0,4756.10009765625,4756.2998046875,3128
2026-04-22 01:00:00+00:00,4769.7998046875,4772.5,4753.5,4757.39990234375,5273
2026-04-22 02:00:00+00:00,4773.5,4776.2001953125,4767.5,4770.2998046875,2943
2026-04-22 03:00:00+00:00,4777.0,4782.7001953125,4770.39990234375,4773.10009765625,2997
2026-04-22 04:00:00+00:00,4772.39990234375,4777.39990234375,4770.10009765625,4776.10009765625,3063
2026-04-22 05:00:00+00:00,4786.39990234375,4789.89990234375,4769.89990234375,4772.39990234375,5726
2026-04-22 06:00:00+00:00,4786.0,4786.5,4777.5,4786.0,3500
2026-04-22 07:00:00+00:00,4779.5,4790.7998046875,4778.39990234375,4785.89990234375,3673
2026-04-22 08:00:00+00:00,4775.7001953125,4781.39990234375,4770.5,4779.60009765625,3494
2026-04-22 09:00:00+00:00,4773.39990234375,4781.10009765625,4771.0,4775.5,3333
2026-04-22 10:00:00+00:00,4778.10009765625,4779.2001953125,4764.2998046875,4773.60009765625,3222
2026-04-22 11:00:00+00:00,4768.89990234375,4779.60009765625,4766.2998046875,4777.89990234375,3844
2026-04-22 12:00:00+00:00,4762.60009765625,4779.0,4761.10009765625,4769.2001953125,6246
2026-04-22 13:00:00+00:00,4771.7001953125,4779.39990234375,4754.60009765625,4762.89990234375,9514
2026-04-22 14:00:00+00:00,4754.2998046875,4776.2998046875,4746.89990234375,4771.5,9685
2026-04-22 15:00:00+00:00,4746.2001953125,4758.39990234375,4743.2001953125,4754.2001953125,5602
2026-04-22 16:00:00+00:00,4747.5,4754.10009765625,4742.10009765625,4746.10009765625,3921
2026-04-22 17:00:00+00:00,4756.39990234375,4758.39990234375,4747.2001953125,4747.39990234375,4066
2026-04-22 18:00:00+00:00,4760.7001953125,4770.2001953125,4748.39990234375,4756.10009765625,4582
